微博内容,发布者名称,发布时间以及设备,发布者主页
【最新消息！#长沙自建房倒塌第9名被困者救出#】今天，湖南#长沙自建房倒塌事故救援第5天#。凌晨4时许，第9名被困人员被救出，是一名女性，已被送往医院救治。期待更多奇迹！L夏天的第一杯奶茶的微博视频​,夏天的第一杯奶茶,24分钟前 来自微博视频号,https://weibo.com/6548652239?refer_flag=1001030103_
女子顽强！【#长沙塌楼近88小时后救出第9名被困者#】#长沙自建房倒塌第9名被困者救出#3日4时15分许，长沙居民自建房倒塌事故近88小时后救出第九名被困者。获救女子可与外界交流，已被紧急送往医院。　　记者在现场看到，2日22时许，救援现场叫停机械作业、人员走动等可能发出声响的行为，为雷达生命​展开c,新闻日日睇,24分钟前 来自新版微博weibo.com,https://weibo.com/1691507817?refer_flag=1001030103_
长沙居民自建房倒塌事故近88小时后救出第九名被困者O长沙居民自建房倒塌事故近88小时后救出第九名被困者​,a1879a,24分钟前 来自分享按钮,https://weibo.com/3740689370?refer_flag=1001030103_
【最新消息！#长沙自建房倒塌第9名被困者救出#】今天，湖南#长沙自建房倒塌事故救援第5天#。凌晨4时许，第9名被困人员被救出，是一名女性，已被送往医院救治。期待更多奇迹！（央视新闻）L央视新闻的微博视频​,北京商报,26分钟前 来自微博视频号,https://weibo.com/1988645095?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#为什么一个六层的楼倒塌，救人这么久？​,抓住这只皮卡丘,26分钟前 来自K30至尊纪念版,https://weibo.com/6115417381?refer_flag=1001030103_
【湖南长沙居民自建房倒塌事故#第9名被困人员获救时称能看到光#】5月3日4时15分左右，长沙居民自建房倒塌事故#第9名被困人员被救出#，此时距事发已近88小时。据救援人员介绍，被救者是一名女性，消防员在找到其准确定位并打通了一个孔后，问“你能看见光吗？”“能看见。”在得到其肯定回答后，现场医​展开c,六盘水消防,26分钟前 来自微博视频号,https://weibo.com/2665972063?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#愿平安​,热热牌樱桃小丸犊子,26分钟前 来自迪热热的Android,https://weibo.com/7456827220?refer_flag=1001030103_
【最新消息！#长沙自建房倒塌第9名被困者救出#】据@央视新闻：今天，湖南#长沙自建房倒塌事故救援第5天#。凌晨4时许，第9名被困人员被救出，是一名女性，已被送往医院救治。期待更多奇迹！L央视新闻的微博视频​,生活报,27分钟前 来自微博视频号,https://weibo.com/1898885525?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#真的无语了好吧一堆人在那站着说话不腰疼看热闹一样一个劲的问怎么救的那么慢那么高的楼塌了，说挖就能挖出来还是咋的那是钢筋水泥啊又不是棉花你行你去帮着挖啊搬得动几块砖真他妈shabi​,元气少女猪刚耶,28分钟前 来自nova5Pro人像超级夜景,https://weibo.com/5993162523?refer_flag=1001030103_
【又一名被困人员被救出！#长沙自建房倒塌救出第8名被困人员#】据“央视新闻客户端”报道：4月29日，湖南长沙一居民自建房发生倒塌事故，造成23人被困，另有39人失联。5月2日19时20分左右，第8名被困人员被救出。​​​（津云）​,哏儿都微博,28分钟前 来自新版微博weibo.com,https://weibo.com/1951836243?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#第十名呢🙏🙏🙏🙏​,__易只鹤,28分钟前 来自iPhone客户端,https://weibo.com/5182461672?refer_flag=1001030103_
【#长沙居民自建房倒塌事故近88小时后救出第九名被困者#】5月3日4时15分许，新华社记者在湖南长沙居民自建房倒塌事故救援现场看到，一名被困人员成功获救，被紧急送往医院接受治疗。这是本次事故发生以来第九名获救被困者。（记者谭畅、陈泽国）L新华社的微博视频​,郫都发布,29分钟前 来自iPhone客户端,https://weibo.com/1973566625?refer_flag=1001030103_
救援人员辛苦了！但愿所有的被困人员都能获救！【88小时后，第9名被困人员获救！】O88小时后，第9名被困人员获救！……3日4时15分许，长沙居民自建房倒塌事故近88小时后救出第9名被困者，获救女子可与外界交流己被紧急送往医院……获救女子曾多次敲击物体向外界传递信号……​,王者之香二86,29分钟前 来自OPPOA565G,https://weibo.com/5867485312?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#愿能有更多的奇迹发生🙏🙏🙏🙏​,咖啡加点糖1021,29分钟前 来自黑鲨游戏手机2,https://weibo.com/7453737247?refer_flag=1001030103_
【#被困人员通过敲击向外界传递信号#消防员：我们一直在找你！】5月3日凌晨4时许，第9名被困人员被救出。该名被困人员曾多次敲击物体向外界传递信号，救援人员一直在通过生命探测仪器、人工搜寻等方式找她的准确位置。#长沙自建房倒塌第9名被困者救出#L湖南消防的微博视频​​​,合肥消防,29分钟前 来自iPhone客户端,https://weibo.com/3334017434?refer_flag=1001030103_
【最新！湖南长沙居民自建房倒塌事故#第9名被困人员被救出#】5月3日4时15分许，湖南#长沙居民自建房倒塌事故第9名被困人员被救出#。5月3日凌晨，记者在事故救援现场看到，救援人员正在对第九位被困人员进行营救。3时10分左右，消防员判断其准确位置，并打通一个孔，看到了第九位被困人员，是一名女性。​展开c,长沙头条,30分钟前 来自微博视频号,https://weibo.com/2309731771?refer_flag=1001030103_
#长沙自建房倒塌事故救援第5天#希望有奇迹🙏🙏🙏🙏🙏🙏🙏​,美丽废话甜心,31分钟前 来自nova9精彩由我摄定,https://weibo.com/5913766400?refer_flag=1001030103_
【最新！湖南长沙居民自建房倒塌事故#第9名被困人员被救出#】5月3日4时15分许，湖南#长沙居民自建房倒塌事故第9名被困人员被救出#。5月3日凌晨，记者在事故救援现场看到，救援人员正在对第九位被困人员进行营救。,哈尔滨广播电视台,31分钟前 来自iPhone12,https://weibo.com/3516620660?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#为营救者点赞，争分夺秒！继续加油！期盼更多好消息🙏🙏🙏🙏​,思路花雨-_-,32分钟前 来自小米8周年旗舰手机,https://weibo.com/7369336376?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#5月3日4时15分左右，经过救援人员的努力，第9名被困人员成功获救，第一时间送往医院救治。#长沙自建房倒塌事故救援第5天##第9名被困人员被救出#L中国消防的微博视频​​​,宣城消防,32分钟前 来自HarmonyOS设备,https://weibo.com/3333861502?refer_flag=1001030103_
湖南长沙居民自建房倒塌事故救援现场遇多重困难搜救持续进行O网页链接​,十里桃林万里花,33分钟前 来自vivo浏览器,https://weibo.com/7416301040?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#加油！反复询问遇难者人数，忽略救援难度质疑救援速度，吐槽中华天灾人祸多的煞笔能不能滚一滚啊。​,Kkknight茜茜豆,33分钟前 来自茜茜HarmonyOS设备,https://weibo.com/3249369860?refer_flag=1001030103_
【长沙塌楼近88小时后救出第9名被困者】3日4时15分许，长沙居民自建房倒塌事故近88小时后救出第九名被困者。获救女子可与外界交流，已被紧急送往医院。　　记者在现场看到，2日22时许，救援现场叫停机械作业、人员走动等可能发出声响的行为，为雷达生命探测仪、蛇眼探测仪等搜救工具创造“静默”环境​展开c,红歌会网,33分钟前 来自微博weibo.com,https://weibo.com/2566813090?refer_flag=1001030103_
#想大口喝矿泉水的女孩成功获救#【#救援人员讲述第8位被困者获救细节#】今晚，#长沙自建房倒塌救出第8名被困人员#。救援人员介绍，被困女孩两条腿都被埋压，虽然曾提出过截肢的方案，但是为了最大限度保护被困者，救援人员通过几个小时的加固，成功将她救出！L央视新闻的微博视频​,眉山公安,33分钟前 来自微博视频号,https://weibo.com/3355041210?refer_flag=1001030103_
#时政#5月3日，星期二，农历四月初三1、湖南长沙居民自建房倒塌事故救援进展：现场仍有生命迹象，已确定第9名被困者位置。2、市场监管总局：3月全国新设市场主体同比增长19.3%。3、北京新增“41+9”，新增3个高风险地区，建外SOHO、望京SOHO、华贸购物中心被临时管控。4、北京单样本核酸检测价格​展开c,牡丹江中公教育,34分钟前 来自微博weibo.com,https://weibo.com/2506070487?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#希望有越来越多的好消息传来，祝平安！​,为什么我不能叫路西法,34分钟前 来自iPhone客户端,https://weibo.com/7395688032?refer_flag=1001030103_
